 033061,7/8/2015	19:36:48,19:37:31,44,SLNGE,000,02.3,5.0,9.5,000
 033105,7/8/2015	19:37:32,19:37:40,9,WHEEL,005,00.0,5.0,9.5,000
 033114,7/8/2015	19:37:41,19:38:11,31,SLNGE,000,45.2,5.0,9.5,000
 033145,7/8/2015	19:38:12,19:39:57,106,TFODA,0,51.9,12.1,20.2,020
 033251,7/8/2015	19:39:58,19:40:02,5,SLNGE,017,20.0,8.9,17.9,017
 033256,7/8/2015	19:40:03,19:44:34,272,WHEEL,235,00.0,8.6,7.7,000
 033528,7/8/2015	19:44:35,19:44:58,24,SLNGE,000,08.3,10.3,7.3,000
 033552,7/8/2015	19:44:59,19:48:38,220,WHEEL,217,00.0,10.1,8.4,000
 033772,7/8/2015	19:48:39,19:48:49,11,SLNGE,005,72.7,9.3,15.4,005
 033783,7/8/2015	19:48:50,19:49:39,50,EFODA,0.183,20.0,12.3,19.9,013
 033833,7/8/2015	19:49:40,19:50:02,23,SLNGE,016,47.8,8.5,21.2,016
 033856,7/8/2015	19:50:03,19:50:49,47,IHOME,13.673,00.0,7.8,14.0,000
 033903,7/8/2015	19:50:50,19:50:58,9,SLNGE,000,00.0,7.8,14.0,000
 033912,7/8/2015	19:50:59,19:54:55,237,WHEEL,218,00.0,8.4,10.9,000
 034149,7/8/2015	19:54:56,19:55:23,28,SLNGE,045,64.3,8.7,15.5,045
 034177,7/8/2015	19:55:24,19:58:26,183,WHEEL,164,00.0,9.0,8.0,000
 034360,7/8/2015	19:58:27,19:58:37,11,SLNGE,000,45.5,9.5,7.3,000
 034371,7/8/2015	19:58:38,19:59:37,60,EFODA,0.197,48.3,12.4,19.7,011
 034431,7/8/2015	19:59:38,20:00:05,28,SLNGE,026,17.9,8.3,21.3,026
 034459,7/8/2015	20:00:06,20:02:42,157,WHEEL,159,00.0,8.3,11.5,000
 034616,7/8/2015	20:02:43,20:03:10,28,SLNGE,000,46.4,8.3,11.5,000
 034644,7/8/2015	20:03:11,20:04:26,76,WHEEL,069,00.0,9.9,13.1,000
 034720,7/8/2015	20:04:27,20:04:42,16,SLNGE,005,75.0,10.0,12.3,005
 034736,7/8/2015	20:04:43,20:05:12,30,TFODA,0,46.7,12.2,19.3,014
 034766,7/8/2015	20:05:13,20:05:22,10,SLNGE,012,30.0,7.4,21.2,012
 034776,7/8/2015	20:05:23,20:05:54,32,IHOME,13.301,00.0,5.8,17.0,000
 034808,7/8/2015	20:05:55,20:06:04,10,SLNGE,003,00.0,5.8,16.8,003
 034818,7/8/2015	20:06:05,20:11:55,351,WHEEL,342,00.0,8.3,9.2,000
 035169,7/8/2015	20:11:56,20:12:07,12,SLNGE,006,66.7,8.5,7.3,006
 035181,7/8/2015	20:12:08,20:12:15,8,TFODA,0,75.0,9.8,18.8,004
 035189,7/8/2015	20:12:16,20:12:21,6,SLNGE,011,100.0,8.3,16.5,011
 035195,7/8/2015	20:12:22,20:15:18,177,WHEEL,180,00.0,5.5,10.3,000
 035372,7/8/2015	20:15:19,20:15:30,12,SLNGE,007,58.3,6.3,9.7,007
 035384,7/8/2015	20:15:31,20:18:45,195,TFODA,0,43.1,13.6,19.7,017
 035579,7/8/2015	20:18:46,20:19:04,19,SLNGE,013,21.1,7.3,21.4,013
 035598,7/8/2015	20:19:05,20:19:40,36,IHOME,13.415,00.0,5.8,15.3,000
 035634,7/8/2015	20:19:41,20:20:46,66,LLNGE,044,06.1,10.2,8.0,044
 035700,7/8/2015	20:20:47,20:29:00,494,WHEEL,478,00.0,9.5,8.9,000
 036194,7/8/2015	20:29:01,20:29:10,10,SLNGE,000,100.0,9.8,10.5,000
 036204,7/8/2015	20:29:11,20:30:02,52,TFODA,0,71.2,12.7,19.5,013
 036256,7/8/2015	20:30:03,20:30:20,18,SLNGE,012,33.3,7.4,21.4,012
 036274,7/8/2015	20:30:21,20:32:30,130,IHOME,13.415,00.0,5.8,16.3,000
 036404,7/8/2015	20:32:31,20:32:41,11,SLNGE,004,09.1,6.1,16.0,004
 036415,7/8/2015	20:32:42,20:38:48,367,WHEEL,350,00.0,8.5,11.2,000
 036782,7/8/2015	20:38:49,20:38:57,9,SLNGE,000,77.8,8.3,10.5,000
 036791,7/8/2015	20:38:58,20:39:28,31,TFODA,0,35.5,11.9,19.4,011
 036822,7/8/2015	20:39:29,20:39:52,24,SLNGE,028,29.2,7.9,21.4,028
 036846,7/8/2015	20:39:53,20:43:40,228,WHEEL,209,00.0,9.4,12.4,000
 037074,7/8/2015	20:43:41,20:43:51,11,SLNGE,000,90.9,8.9,7.0,000
 037085,7/8/2015	20:43:52,20:46:42,171,TFODA,0,63.2,13.1,19.8,035
 037256,7/8/2015	20:46:43,20:47:04,22,SLNGE,016,40.9,8.4,20.2,016
 037278,7/8/2015	20:47:05,20:47:58,54,IHOME,13.575,00.0,5.8,16.0,000
 037332,7/8/2015	20:47:59,20:48:08,10,SLNGE,004,10.0,6.0,15.7,004
 037342,7/8/2015	20:48:09,20:52:49,281,WHEEL,274,00.0,8.0,13.0,000
 037623,7/8/2015	20:52:50,20:53:11,22,SLNGE,016,63.6,8.9,14.6,016
 037645,7/8/2015	20:53:12,20:58:15,304,WHEEL,290,00.0,7.5,14.9,000
 037949,7/8/2015	20:58:16,20:58:22,7,SLNGE,015,28.6,10.0,17.1,015
 037956,7/8/2015	20:58:23,20:58:23,1,TFODA,0,100.0,8.5,12.3,000
 037957,7/8/2015	20:58:24,20:58:39,16,SLNGE,020,62.5,7.1,19.9,020
